,ZIP,Latitude,Longitude
0,19601,40.3534,-75.9401
1,19560,40.4026,-75.8942
2,19390,39.8474,-75.8234
3,19102,39.9548,-75.1647
4,19023,39.9183,-75.2666
5,19013,39.8476,-75.372
6,18955,40.4824,-75.3155
7,18847,41.8769,-75.605
8,18832,41.6774,-76.5931
9,18704,41.2778,-75.9143
10,18702,41.2274,-75.7499
11,18651,41.2486,-75.958
12,18634,41.2,-76.0237
13,18447,41.5006,-75.6209
14,18201,40.9428,-75.9701
15,18072,40.8456,-75.2579
16,18052,40.6579,-75.5065
17,18032,40.6579,-75.4697
18,18013,40.869,-75.1897
19,17954,40.6902,-76.2585
20,17872,40.763,-76.6711
21,17814,41.2693,-76.372
22,17752,41.1847,-76.9047
23,17701,41.2718,-77.0381
24,17522,40.1755,-76.1571
25,17501,40.1574,-76.2026
26,17401,39.9614,-76.7284
27,17363,39.7722,-76.5809
28,17316,39.9725,-77.0092
29,17101,40.2551,-76.8893
30,17059,40.5861,-77.3815
31,17011,40.2419,-76.9365
32,16801,40.7852,-77.8395
33,16601,40.5478,-78.4215
34,16501,42.1188,-80.0912
35,16412,41.8818,-80.1596
36,16323,41.4156,-79.8498
37,16232,41.2259,-79.5418
38,16137,41.2272,-80.2419
39,16101,40.972,-80.2767
40,16001,40.9148,-79.9366
41,15902,40.3113,-78.8874
42,15901,40.33,-78.9152
43,15801,41.1305,-78.7477
44,15675,40.3281,-79.6438
45,15558,39.7586,-79.1502
46,15320,39.8708,-80.0031
47,15301,40.1558,-80.2423
48,15227,40.3825,-79.9776
49,15210,40.405,-79.9875
50,15143,40.5777,-80.1508
51,15110,40.3729,-79.8485
52,15106,40.4063,-80.1039
53,15085,40.3843,-79.7268
54,15074,40.7326,-80.1849
55,15068,40.5791,-79.7145
56,15017,40.3384,-80.1444
57,15003,40.5999,-80.2113